Year,Period,Month,Japan,J.HEV,J.BEV/FCEV,North America,N.HEV,N.BEV/FCEV,South America,S.HEV,Europe,E.HEV,E.PHEV,E.BEV,Middle East/Africa,M.HEV,M.BEV,Asia & Oceanea,A.HEV,A.BEV,China,C.HEV,C.PHEV,C.BEV,Electrified vehicle sales total,HEV,PHEV,BEV/FCEV
2023,30-01-2023 00:00,Jan,12037,12010,27,12204,12204,0,46,46,4168,4101,0,67,70,70,0,3434,3434,0,11212,9293,996,923,43171,41158,996,1017
2023,28-02-2023 00:00,Feb,15199,15172,27,12004,12004,0,163,163,3896,3842,0,54,72,72,0,5818,5818,0,16236,13602,1010,1624,53388,50673,1010,1705
2023,30-03-2023 00:00,Mar,22961,22924,37,26571,26571,0,80,80,7732,7649,0,83,158,158,0,6460,6460,0,22531,18787,1716,2028,86493,82629,1716,2148
2023,30-04-2023 00:00,Apr,10020,9990,30,30994,30994,0,41,41,4048,3979,0,69,31,31,0,4142,4142,0,24245,22432,1160,653,73521,71609,1160,752
2023,30-05-2023 00:00,May,9435,9419,16,34843,34843,0,14,14,4020,3950,0,70,41,41,0,3720,3720,0,21704,19860,728,1116,73777,71847,728,1202
2023,30-06-2023 00:00,Jun,14067,14050,17,28810,28810,0,8,8,5035,4957,0,78,48,48,0,4414,4414,0,23020,20522,977,1521,75402,72809,977,1616
2023,30-07-2023 00:00,Jul,15580,15560,20,30182,30182,0,3,3,5118,4931,133,54,42,42,0,4142,4142,0,14475,11891,1926,658,69542,66751,2059,732
2023,30-08-2023 00:00,Aug,12445,12421,24,29326,29326,0,68,68,4330,3656,356,318,76,76,0,3720,3720,0,14483,11507,2117,859,64448,60774,2473,1201
2023,30-09-2023 00:00,Sep,19158,19137,21,30324,30324,0,27,27,7660,7066,293,301,146,146,0,4414,4414,0,15509,11622,2797,1090,77238,72736,3090,1412
2023,30-10-2023 00:00,Oct,20974,20950,24,27767,27767,0,66,66,6171,5627,208,336,135,135,0,4142,4142,0,15485,11477,2285,1723,74740,70164,2493,2083
2023,30-11-2023 00:00,Nov,23859,23841,18,26821,26821,0,28,28,5754,5438,139,177,152,152,0,3720,3720,0,12943,9411,2096,1436,73277,69411,2235,1631
2023,30-12-2023 00:00,Dec,21869,21844,25,29129,29129,0,74,74,5221,4734,166,321,143,143,0,4414,4414,0,20747,14511,2914,3322,81597,74849,3080,3668
2024,30-01-2024 00:00,Jan,22768,22752,16,19257,19257,0,198,198,6245,5565,285,395,119,119,0,8193,8193,0,12642,9215,1815,1612,69422,65299,2100,2023
2024,29-02-2024 00:00,Feb,24595,24583,12,23410,23410,0,144,144,6060,5594,203,263,341,341,0,7908,7904,4,5140,3827,773,540,67598,65803,976,819
2024,30-03-2024 00:00,Mar,31728,31716,12,27419,27419,0,274,274,13320,10494,436,2390,201,201,0,8063,8034,29,9767,7498,1180,1089,90772,85636,1616,3520
2024,30-01-2024 00:00,Apr,20860,20829,31,24282,24189,93,325,325,6224,5023,172,1029,106,106,0,5600,5570,30,10885,8928,1231,726,68282,64970,1403,1909
2024,30-01-2024 00:00,May,17711,17684,27,30414,29713,701,285,285,5391,4575,233,583,145,145,0,6898,6891,7,9909,8235,1183,491,70753,67528,1416,1809
2024,30-01-2024 00:00,Jun,23526,23517,9,27066,25971,1095,275,275,6206,5388,219,599,131,131,0,7011,7009,2,11023,8776,1336,911,75238,71067,1555,2616
2024,30-01-2024 00:00,Jul,23798,23788,10,31921,27694,4227,283,283,6279,5434,279,566,189,189,0,6539,6535,4,9945,6913,1272,1760,78954,70836,1551,6567
2024,30-01-2024 00:00,Aug,17333,17325,8,41662,35193,6469,325,325,6092,5213,193,686,128,128,0,5622,5621,1,9395,7421,1346,628,80557,71226,1539,7792
2024,30-01-2024 00:00,Sep,23540,23479,61,35439,30590,4849,311,311,9522,7711,328,1483,178,178,0,5053,5051,2,9281,7226,1221,834,83324,74546,1549,7229
2024,30-01-2024 00:00,Oct,20353,19739,614,37288,31823,5465,370,370,6247,5530,148,569,137,137,0,4458,4453,5,10215,8262,1255,698,79068,70314,1403,7351
