Year,Period,Month,Japan,North America,Ohio,Alabama,Indiana,(US total),Canada,Mexico,South America,Brazil,Asia & Oceania,Thailand,Indonesia,Malaysia,Vietnam,Taiwan,Pakistan,India,China,GAC,Dongfeng,Other,Nigeria,Ghana,Total
2023,30-01-2023 00:00,Jan,47193,106673,31013,24141,15855,71009,25169,10495,5490,5490,49583,13092,17286,5557,1139,1917,2096,8496,71803,30277,41526,15,15,0,280757
2023,28-02-2023 00:00,Feb,60572,129983,40323,28651,17861,86835,29784,13364,6316,6316,52659,14950,15748,6687,1164,2363,2112,9635,91022,48794,42228,22,22,0,340574
2023,30-03-2023 00:00,Mar,72759,134665,43264,26097,20253,89614,32804,12247,7956,7956,56112,16388,17723,7293,1596,2977,575,9560,150244,75785,74459,23,23,0,421759
2023,30-04-2023 00:00,Apr,45833,120812,38692,26445,19113,84250,25015,11547,5722,5722,27734,6540,7371,5283,1250,2340,0,4950,73640,32619,41021,22,22,0,273763
2023,30-05-2023 00:00,May,44510,136673,41717,25669,20503,87889,34063,14721,7301,7301,40703,9368,13979,7192,1161,2552,25,6426,99842,70834,29008,37,37,0,329066
2023,30-06-2023 00:00,Jun,56533,138315,42388,28094,20830,91312,31052,15951,6402,6402,39471,9247,14167,5675,1050,2428,280,6624,131087,90510,40577,29,29,0,371837
2023,30-07-2023 00:00,Jul,58972,102127,30134,16752,15193,62079,24559,15489,6994,6994,40506,8577,14222,6507,1779,2156,685,6580,72475,32895,39580,32,32,0,281106
2023,30-08-2023 00:00,Aug,51162,148842,47546,28491,23234,99271,35753,13818,7791,7791,50240,11836,14654,7283,2038,2351,1080,10998,89029,34896,54133,32,32,0,347096
2023,30-09-2023 00:00,Sep,61515,133510,41242,24548,20829,86619,32999,13892,6514,6514,52830,14321,12410,6021,1756,2697,1320,14305,119305,46466,72839,27,27,0,373701
2023,30-10-2023 00:00,Oct,73939,155307,47322,32779,21648,101749,35756,17802,6785,6785,53523,14011,12250,8527,1772,2688,897,13378,115694,54628,61066,28,28,0,405276
2023,30-11-2023 00:00,Nov,76272,145431,40863,26647,21933,89443,39217,16771,6160,6160,55965,16161,11628,8722,1776,3416,823,13439,130573,68721,61852,28,28,0,414429
2023,30-12-2023 00:00,Dec,69261,107643,32721,18473,16998,68192,28296,11155,5289,5289,45212,12885,6984,8364,690,3160,1160,11969,121238,65894,55344,32,23,9,348675
2024,30-01-2024 00:00,Jan,56469,135474,29558,27653,21192,78403,38407,18664,5867,5867,53324,14464,9885,9419,1032,3157,1460,13907,85949,28020,57929,36,30,6,337119
2024,29-02-2024 00:00,Feb,51010,142408,37890,31779,20914,90583,35277,16548,6073,6073,48977,11743,9187,7758,674,2090,1535,15990,46209,17400,28809,33,29,4,294710
2024,30-03-2024 00:00,Mar,61370,138781,37561,30375,21766,89702,34320,14759,6102,6102,50150,12422,8477,8094,947,2525,1444,16241,84654,33560,51094,16,13,3,341073
2024,30-04-2024 00:00,Apr,57196,138175,37722,30467,20517,88706,35817,13652,6671,6671,33549,6969,6388,6466,1074,2277,1225,9150,81076,36440,44636,12,5,7,316679
2024,30-05-2024 00:00,May,51125,147808,40693,30427,22061,93181,36798,17829,7940,7940,38267,8006,8599,9094,1191,2647,1200,7530,59268,34196,25072,15,9,6,304423
2024,30-06-2024 00:00,Jun,56037,131460,34872,26306,19851,81029,34197,16234,9484,9484,35301,7590,8009,7161,950,2216,915,8460,58641,35241,23400,31,25,6,290954
2024,30-07-2024 00:00,Jul,61679,120491,28767,25224,17195,71186,29851,19454,5971,5971,37745,8457,10260,7027,1228,1668,1035,8070,72753,41089,31664,10,5,5,298649
2024,30-08-2024 00:00,Aug,50431,143859,39908,31678,22191,93777,35799,14283,9206,9206,41375,9255,9793,7586,1386,1685,1080,10590,62983,34443,28540,11,1,10,307865
2024,30-09-2024 00:00,Sep,61707,137024,36014,29238,19538,84790,35734,16500,8756,8756,40871,10300,9361,6161,1232,1847,1200,10770,50425,31000,19425,62,50,12,298845
2024,30-10-2024 00:00,Oct,66072,156359,41685,33249,23135,98069,39410,18880,9284,9284,46424,10336,11585,7372,1445,1699,1363,12624,62629,36799,25830,9,0,9,340777
